Ticker,Company,Annual_Return_%,Volatility_%
ETN,Eaton Corporation plc,9.946261401361745,27.870728668223833
EBAY,eBay Inc.,17.847003979783914,49.498605230029455
ECL,Ecolab Inc.,9.152534286345038,26.82406963450798
EIX,Edison International,5.050646999087061,26.906393426183783
EW,Edwards Lifesciences Corporation,17.479449566306116,33.56075950331402
EA,Electronic Arts Inc.,17.368788035662753,46.724759878789364
ELV,"Elevance Health, Inc.",13.29679804785966,30.448545476087663
EMR,Emerson Electric Co.,6.994549484512147,26.41746623870661
ENPH,"Enphase Energy, Inc.",19.368745235337425,80.22715039740321
ETR,Entergy Corporation,3.8414749737958997,24.69562457171459
EOG,"EOG Resources, Inc.",11.627003054120987,38.730486673195074
EPAM,"EPAM Systems, Inc.",24.441610452495375,43.84001952879824
EQT,EQT Corporation,10.01381611355665,33.62178059556646
EFX,Equifax Inc.,13.848983953884119,30.548064522067715
EQIX,"Equinix, Inc.",3.3404190852724502,60.77397720564457
EQR,Equity Residential,5.243068184255639,30.41654545421309
ERIE,Erie Indemnity Company,11.70240013881061,30.9688172338002
ESS,"Essex Property Trust, Inc.",9.166677857919003,27.143935462306995
EL,The Estée Lauder Companies Inc.,7.6699597057416025,31.633060148810543
EG,"Everest Group, Ltd.",10.457063238454701,29.33428717771383
EVRG,"Evergy, Inc.",3.033471316369951,22.00559522178013
ES,Eversource Energy,2.5534389211066877,23.601923075944008
EXC,Exelon Corporation,3.047461937414231,24.153950115490417
EXE,Expand Energy Corporation,22.774672867096445,35.86465738269548
EXPE,"Expedia Group, Inc.",7.224612855066104,45.28537803693125
EXPD,"Expeditors International of Washington, Inc.",17.43010331801569,35.2575497354492
EXR,Extra Space Storage Inc.,12.869965508763691,32.995954803297224
XOM,Exxon Mobil Corporation,7.544348285164881,23.881534784858967
FFIV,"F5, Inc.",14.777576209433473,59.43582177822139
FDS,FactSet Research Systems Inc.,17.87365575668325,34.140290578569434
FICO,Fair Isaac Corporation,21.502760654766305,48.6412108352344
FAST,Fastenal Company,20.72675927334837,35.77331534045288
FRT,Federal Realty Investment Trust,6.994063712282195,27.015650608313702
FDX,FedEx Corporation,12.94926755227861,33.81743271483346
FIS,"Fidelity National Information Services, Inc.",5.301690877998477,31.739902815354654
FITB,Fifth Third Bancorp,10.237258730952735,39.80409469374395
FSLR,"First Solar, Inc.",11.508689075603073,59.53947863896617
FE,FirstEnergy Corp.,1.6851215144493281,25.250441116910206
FI,"Fiserv, Inc.",18.864505139007946,32.915028473660264
F,Ford Motor Company,2.939945355465068,35.85531959568381
FTNT,"Fortinet, Inc.",30.7020423767834,41.28074152191404
FTV,Fortive Corporation,7.483967429222971,26.27952092516388
FOXA,Fox Corporation,4.4186310558257835,32.638136947358824
FOX,Fox Corporation,2.8264540241566216,31.612607973184886
BEN,"Franklin Resources, Inc.",14.984630355737515,57.10848987256727
FCX,Freeport-McMoRan Inc.,3.9301761688518733,50.400457301529
GRMN,Garmin Ltd.,13.431819431674352,37.268427192851895
IT,"Gartner, Inc.",17.419861895570342,41.47344406786161
GE,GE Aerospace,7.121147686200691,28.448816975782083
GEHC,GE HealthCare Technologies Inc.,14.134605674085886,29.546571555700613
GEV,GE Vernova Inc.,209.28113742915917,47.96711107997644
GEN,Gen Digital Inc.,10.791124744780166,48.97480747108782
GNRC,Generac Holdings Inc.,18.205025519003847,43.03268448186155
GD,General Dynamics Corporation,11.333190333459386,29.811684072700544
GIS,"General Mills, Inc.",9.55105722145493,21.450817405105813
GM,General Motors Company,3.2445183828507584,34.288364113606846
GPC,Genuine Parts Company,7.688354163030775,24.354094537058824
GILD,"Gilead Sciences, Inc.",16.319708565917068,47.029273335941106
GPN,Global Payments Inc.,15.18479418866374,33.03106793038083
GL,Globe Life Inc.,8.620102068787627,31.56306487190791
GDDY,GoDaddy Inc.,26.595442957956106,36.084612713448536
GS,"The Goldman Sachs Group, Inc.",8.520023430886848,36.24771286622288
HAL,Halliburton Company,3.722266985392042,40.0953771614434
HIG,"The Hartford Insurance Group, Inc.",5.227794311473466,50.109473920983426
HAS,"Hasbro, Inc.",15.027987576519376,35.01452160038777
HCA,"HCA Healthcare, Inc.",17.813546586135985,33.668899532700124
DOC,"Healthpeak Properties, Inc.",3.6455700650590117,29.165422388078333
HSIC,"Henry Schein, Inc.",9.857407293857756,33.3914042460094
HSY,The Hershey Company,12.556573939022941,24.55492563815891
HES,Hess Corporation,6.50489122832163,37.68073650396226
HPE,Hewlett Packard Enterprise Company,9.081657598630821,35.18199773486483
HLT,Hilton Worldwide Holdings Inc.,16.9204133229492,28.428590684439026
HOLX,"Hologic, Inc.",10.280935401826486,51.76681897024958
HD,"The Home Depot, Inc.",24.468455390071785,36.320294208420904
HON,Honeywell International Inc.,7.620764364670429,29.917965002661255
HRL,Hormel Foods Corporation,11.283542368782662,25.556789234864613
HST,"Host Hotels & Resorts, Inc.",3.821634386335515,40.14423104121168
HWM,Howmet Aerospace Inc.,24.10889723629033,40.9610765497898
HPQ,HP Inc.,8.523090312834114,36.32824055688345
HUBB,Hubbell Incorporated,9.389089467787137,124.51583520036642
HUM,Humana Inc.,7.886469381276129,39.957394623179674
HBAN,Huntington Bancshares Incorporated,5.010991172443591,41.58845136741671
HII,"Huntington Ingalls Industries, Inc.",12.43359180076018,27.629445002133508
IBM,International Business Machines Corporation,4.7200142557458635,25.75777303406551
IEX,IDEX Corporation,12.785323571908314,27.82129500216885
IDXX,"IDEXX Laboratories, Inc.",19.879283288962,39.61765361371195
ITW,Illinois Tool Works Inc.,11.058776962119277,27.579997027158598
INCY,Incyte Corporation,12.239016492878774,63.10517325056646
IR,Ingersoll Rand Inc.,21.011825568616516,34.32959471133491
PODD,Insulet Corporation,17.236600314238125,51.20630265116668
INTC,Intel Corporation,9.608280842054807,40.055152371572525
ICE,"Intercontinental Exchange, Inc.",16.65675004914384,38.88390229242881
IFF,International Flavors & Fragrances Inc.,5.016846594707025,27.59212120459791
IP,International Paper Company,3.3142250893352765,31.360988751183637
IPG,"The Interpublic Group of Companies, Inc.",8.29006810459354,34.418649747974584
INTU,Intuit Inc.,18.779418593546147,45.810335804307336
ISRG,"Intuitive Surgical, Inc.",25.43058481397442,48.72830181789038
IVZ,Invesco Ltd.,3.2691391324717545,43.51586761175195
INVH,Invitation Homes Inc.,6.050806536306275,26.21438205871748
IQV,IQVIA Holdings Inc.,14.191039320807297,28.03525674483455
IRM,Iron Mountain Incorporated,13.110218953640175,31.773032898935327
JBHT,"J.B. Hunt Transport Services, Inc.",12.1264248746084,37.5026345977946
JBL,Jabil Inc.,17.167657979347606,56.43531378179084
JKHY,"Jack Henry & Associates, Inc.",17.01682715306272,48.52648516542075
J,Jacobs Solutions Inc.,13.351168250596391,37.19152413262112
JNJ,Johnson & Johnson,9.056046505125392,22.65457008741585
JCI,Johnson Controls International plc,6.755298180291169,36.6818049070515
JPM,JPMorgan Chase & Co.,9.002953946098625,35.304773560629876
JNPR,"Juniper Networks, Inc.",3.258626521250352,52.70312868094482
K,Kellanova,7.728930215052143,24.578178748652128
KVUE,Kenvue Inc.,-13.419215317964195,26.33623783885712
KDP,Keurig Dr Pepper Inc.,1.3655273425264403,31.92854671219584
KEY,KeyCorp,2.805729414147562,40.38631285140923
KEYS,"Keysight Technologies, Inc.",18.62454534026576,30.555253346842548
KMB,Kimberly-Clark Corporation,9.23269381756886,22.580627861924395
KIM,Kimco Realty Corporation,5.122299317713708,33.85579030511286
KMI,"Kinder Morgan, Inc.",-0.9071248819844668,29.101078632981427
KKR,KKR & Co. Inc.,20.339405875132655,34.51878936787507
KLAC,KLA Corporation,15.325521623638094,51.09927155258062
KHC,The Kraft Heinz Company,-8.828063090494576,27.211215799941908
KR,The Kroger Co.,8.013750857510061,31.876280103732867
LHX,"L3Harris Technologies, Inc.",7.397212642279261,31.562720978943055
LH,Labcorp Holdings Inc.,6.614891134316037,39.103515389388264
LRCX,Lam Research Corporation,15.284655285067817,55.7236585691358
LW,"Lamb Weston Holdings, Inc.",9.814405207365118,34.58027494265771
LVS,Las Vegas Sands Corp.,0.4259522846520092,58.41594318460205
LDOS,"Leidos Holdings, Inc.",6.646766910386215,27.88681823197818
LEN,Lennar Corporation,11.125265870849233,45.502941683306744
LII,Lennox International Inc.,14.708711871741475,34.77499371036307
LLY,Eli Lilly and Company,10.507376884405506,27.184361131912695
LIN,Linde plc,12.953196397158617,27.868392010187282
LYV,"Live Nation Entertainment, Inc.",13.989533673280441,46.96296100381599
LKQ,LKQ Corporation,14.68558337200987,35.48974314121857
LMT,Lockheed Martin Corporation,13.846058669010253,30.350898945977434
L,Loews Corporation,11.393476070173891,26.721899045628277
LOW,"Lowe's Companies, Inc.",15.037545147525599,35.46859911856182
LULU,lululemon athletica inc.,20.926176364679794,49.00489741530994
LYB,LyondellBasell Industries N.V.,8.534778890605965,35.284838599649106
MTB,M&T Bank Corporation,13.978833386065714,28.24971874341169
MPC,Marathon Petroleum Corporation,15.816866014851305,39.634669577115034
MKTX,MarketAxess Holdings Inc.,13.522994538520173,44.563581818774644
MAR,"Marriott International, Inc.",11.089748822704394,34.25870007231632
MMC,"Marsh & McLennan Companies, Inc.",8.601761204280912,25.91065151521156
MLM,"Martin Marietta Materials, Inc.",10.387891537422234,32.45029854487346
MAS,Masco Corporation,7.904221125668864,34.341565789055124
MA,Mastercard Incorporated,29.012482133920024,32.910084384574624
MTCH,"Match Group, Inc.",15.693870994534386,50.01417180346388
MKC,"McCormick & Company, Incorporated",9.0132114616718,26.49737894311769
MCD,McDonald's Corporation,12.912721411384176,26.58813112904575
MCK,McKesson Corporation,12.476914946390005,31.811415687902795
MDT,Medtronic plc,11.066471936384726,31.480948970305416
MRK,"Merck & Co., Inc.",7.937620740143081,25.262751925092513
META,"Meta Platforms, Inc.",24.237676859221136,39.85613421111213
MET,"MetLife, Inc.",7.439348589830241,39.434797462379414
MTD,Mettler-Toledo International Inc.,17.63954958936107,31.346877027194857
MGM,MGM Resorts International,7.129840896701811,48.495314571679444
MCHP,Microchip Technology Incorporated,17.643733930515037,47.533957522144945
MU,"Micron Technology, Inc.",10.63395515507386,60.19412814581813
MSFT,Microsoft Corporation,24.114939673322276,33.42099146119407
MAA,"Mid-America Apartment Communities, Inc.",6.5330263336365935,27.68891921917466
MRNA,"Moderna, Inc.",13.166469202997465,72.59403178597901
MHK,"Mohawk Industries, Inc.",9.104363805656735,40.92196423600353
MOH,"Molina Healthcare, Inc.",15.390778608734458,41.5876244007464
TAP,Molson Coors Beverage Company,2.692111558553556,32.481652598117016
MDLZ,"Mondelez International, Inc.",2.776760116524124,22.280716422150153
MPWR,"Monolithic Power Systems, Inc.",22.713007192670887,46.58815993654809
MNST,Monster Beverage Corporation,18.016065978950934,77.52604554580607
MCO,Moody's Corporation,14.34026407054072,32.388925009212706
MS,Morgan Stanley,9.143468668973377,45.687537682912144
MOS,The Mosaic Company,2.012244590860579,42.82494568975111
MSI,"Motorola Solutions, Inc.",9.336017481562164,36.79461751621457
MSCI,MSCI Inc.,20.08486894456276,35.78979647549666
NDAQ,"Nasdaq, Inc.",12.94825193400644,37.524777376260936
NTAP,"NetApp, Inc.",16.758177463624623,56.95522842575752
NFLX,"Netflix, Inc.",34.04336574690008,55.45820868769753
NEM,Newmont Corporation,2.9037359812553065,39.61871662177841
NWSA,News Corporation,4.916344768394687,28.98475927359544
NWS,News Corporation,5.97625710223173,28.8571767050474
NEE,"NextEra Energy, Inc.",6.890784832914165,21.80827697502966
NKE,"NIKE, Inc.",14.658987558276104,34.1608582457589
NI,NiSource Inc.,3.99517750797469,23.241677319947037
NDSN,Nordson Corporation,11.698401005505543,33.93297212974659
NSC,Norfolk Southern Corporation,9.571618894605361,29.50084743744741
NTRS,Northern Trust Corporation,11.432800450777636,29.614392343877682
NOC,Northrop Grumman Corporation,9.953879329397619,27.383029145073863
NCLH,Norwegian Cruise Line Holdings Ltd.,0.3185033442693941,55.719800771593974
NRG,"NRG Energy, Inc.",11.312601081123352,37.532891896835466
NUE,Nucor Corporation,11.759242485870814,36.00256423238937
NVDA,NVIDIA Corporation,36.74490696137405,59.97555875986074
NVR,"NVR, Inc.",15.242191810794559,423.655623769589
NXPI,NXP Semiconductors N.V.,20.58721538540851,42.22780141757365
ORLY,"O'Reilly Automotive, Inc.",21.592450137921347,33.16516034867712
OXY,Occidental Petroleum Corporation,3.402522064131097,35.81640055131002
ODFL,"Old Dominion Freight Line, Inc.",18.87811585685677,48.65085979749269
OMC,Omnicom Group Inc.,9.405709015599918,28.583962717286198
ON,ON Semiconductor Corporation,4.021393590480682,60.65716034665719
OKE,"ONEOK, Inc.",7.635839979060743,33.19282157269508
ORCL,Oracle Corporation,22.509282056040192,46.04958501091197
OTIS,Otis Worldwide Corporation,16.142347149092018,25.766522532558994
PCAR,PACCAR Inc,11.366662753811108,32.27905950227982
PKG,Packaging Corporation of America,12.479914386021939,31.676130854139494
PLTR,Palantir Technologies Inc.,63.722836685075656,71.68822531537572
PANW,"Palo Alto Networks, Inc.",27.615463899313152,39.34383101394191
PARA,Paramount Global,-4.853046597352495,45.26724885391457
PH,Parker-Hannifin Corporation,11.315376684080158,31.906358268173218
PAYX,"Paychex, Inc.",17.0550942262198,33.958479824494205
PAYC,"Paycom Software, Inc.",27.34641763206376,46.572071400613105
PYPL,"PayPal Holdings, Inc.",9.311937691650174,38.034300952448255
PNR,Pentair plc,9.258182236901312,33.179468761569744
PEP,"PepsiCo, Inc.",9.040672651224835,24.23500981016769
PFE,Pfizer Inc.,6.838836405052362,27.491048797334955
PCG,PG&E Corporation,0.6760330570117157,35.31357662978461
PM,Philip Morris International Inc.,5.430633609400459,23.392216931964093
PSX,Phillips 66,9.82679180773216,33.411590858703235
PNW,Pinnacle West Capital Corporation,2.6026771378783176,27.132968101865266
PNC,"The PNC Financial Services Group, Inc.",9.137983350423973,31.15654309300588
POOL,Pool Corporation,22.41331611020163,35.85994632619316
PPG,"PPG Industries, Inc.",9.9701177594816,27.733331034951426
PPL,PPL Corporation,4.892721942157197,22.111187648618415
PFG,"Principal Financial Group, Inc.",5.77710927883579,43.546596916769936
PG,The Procter & Gamble Company,8.679000144209548,21.99957051872808
PGR,The Progressive Corporation,20.462731767128517,28.59578080298143
PLD,"Prologis, Inc.",5.765231596171927,36.328288797558265
PRU,"Prudential Financial, Inc.",6.236806944909512,42.49412073950476
PEG,Public Service Enterprise Group Incorporated,5.9111510280234425,22.56547284856766
PTC,PTC Inc.,14.06074488286222,51.74932141765212
PSA,Public Storage,7.138367154154879,27.67376381072617
PHM,"PulteGroup, Inc.",15.29509452119402,44.713445468056996
PWR,"Quanta Services, Inc.",14.971740553309964,49.99743963150612
QCOM,QUALCOMM Incorporated,18.522646817403764,48.50753625992957
DGX,Quest Diagnostics Incorporated,14.370073029610776,29.808503511895136
RL,Ralph Lauren Corporation,7.520258997754237,39.268948049096245
RJF,"Raymond James Financial, Inc.",14.34933253690367,37.54038886362742
RTX,RTX Corporation,9.47962673444911,27.845227668339945
O,Realty Income Corporation,6.554055546918391,28.003804959965755
REG,Regency Centers Corporation,4.38783025947691,31.15587416193284
REGN,"Regeneron Pharmaceuticals, Inc.",10.94247075130017,63.795036955688936
RF,Regions Financial Corporation,6.183117413678829,38.760878859178604
RSG,"Republic Services, Inc.",9.77337869089412,29.0613905413854
RMD,ResMed Inc.,21.800660820689146,40.72572229335293
RVTY,"Revvity, Inc.",9.685152379707617,36.4839177618801
ROK,"Rockwell Automation, Inc.",8.611974025785996,34.12686175564527
ROL,"Rollins, Inc.",13.006668659700527,29.822087824083948
ROP,"Roper Technologies, Inc.",18.34266590722904,33.89423457722209
ROST,"Ross Stores, Inc.",15.304059325832121,41.502965353362114
RCL,Royal Caribbean Cruises Ltd.,10.766946206095017,47.99506956325943
SPGI,S&P Global Inc.,13.197077134316505,29.620699611679115
CRM,"Salesforce, Inc.",23.659623597285908,41.94221174976438
SBAC,SBA Communications Corporation,13.043950143934758,57.34256022202858
SLB,Schlumberger Limited,2.342833589320814,36.05453264077278
STX,Seagate Technology Holdings plc,9.582965199742777,44.83480848472923
SRE,Sempra,7.071373007650861,24.849703114615558
NOW,"ServiceNow, Inc.",35.195329262832864,40.60284264552263
SHW,The Sherwin-Williams Company,17.137473543015403,29.032427657169222
SPG,"Simon Property Group, Inc.",7.0052695907072415,34.192946649649805
SWKS,"Skyworks Solutions, Inc.",6.883155650355399,63.39357604040875
SJM,The J. M. Smucker Company,5.209123708997243,24.897356942444755
SW,Smurfit Westrock Plc,36.33712650896022,36.93588020243159
SNA,Snap-on Incorporated,7.254460001828433,29.560938027609428
SOLV,Solventum Corporation,-5.860915259915456,31.340898992384886
SO,The Southern Company,7.506913633760215,20.367841411394338
LUV,Southwest Airlines Co.,12.013609417563242,37.08646752431141
SWK,"Stanley Black & Decker, Inc.",6.265148874114512,32.061157951310534
SBUX,Starbucks Corporation,18.786056777449446,37.59547753596962
STT,State Street Corporation,14.978708443594524,36.1977174276119
STLD,"Steel Dynamics, Inc.",12.04479626042878,47.47667742901751
STE,STERIS plc,15.16240408008709,38.690685435062136
SYK,Stryker Corporation,20.174742882726626,32.9024718717564
SMCI,"Super Micro Computer, Inc.",22.170957274452242,59.915234351550474
SYF,Synchrony Financial,10.494919703404658,37.6875773858112
SNPS,"Synopsys, Inc.",13.379138975311422,39.73049351683225
