Date,FFR
1886-09-09,10367.72
1886-09-10,10368.74
1886-09-13,10369.76
1886-09-14,10370.77
1886-09-15,10371.79
1886-09-16,10372.81
1886-09-17,10373.83
1886-09-20,10374.85
1886-09-21,10375.87
1886-09-22,10376.89
1886-09-23,10377.91
1886-09-24,10378.93
1886-09-27,10379.95
1886-09-28,10380.97
1886-09-29,10381.99
1886-09-30,10383.01
1886-10-01,10384.04
1886-10-04,10385.06
1886-10-05,10386.08
1886-10-06,10387.11
1886-10-07,10388.13
1886-10-08,10389.15
1886-10-11,10390.18
1886-10-12,10391.2
1886-10-13,10392.23
1886-10-14,10393.26
1886-10-15,10394.28
1886-10-18,10395.31
1886-10-19,10396.34
1886-10-20,10397.37
1886-10-21,10398.39
1886-10-22,10399.42
1886-10-25,10400.45
1886-10-26,10401.48
1886-10-27,10402.51
1886-10-28,10403.54
1886-10-29,10404.58
1886-11-01,10405.61
1886-11-03,10406.64
1886-11-04,10407.67
1886-11-05,10408.71
1886-11-08,10409.74
1886-11-09,10410.77
1886-11-10,10411.81
1886-11-11,10412.84
1886-11-12,10413.88
1886-11-15,10414.91
1886-11-16,10415.95
1886-11-17,10416.98
1886-11-18,10418.02
1886-11-19,10419.05
1886-11-22,10420.09
1886-11-23,10421.13
1886-11-24,10422.16
1886-11-26,10423.2
1886-11-29,10424.24
1886-11-30,10425.28
1886-12-01,10426.32
1886-12-02,10427.36
1886-12-03,10428.39
1886-12-06,10429.43
1886-12-07,10430.47
1886-12-08,10431.51
1886-12-09,10432.55
1886-12-10,10433.59
1886-12-13,10434.63
1886-12-14,10435.68
1886-12-15,10436.72
1886-12-16,10437.76
1886-12-17,10438.8
1886-12-20,10439.84
1886-12-21,10440.88
1886-12-22,10441.93
1886-12-23,10442.97
1886-12-24,10444.01
1886-12-27,10445.06
1886-12-28,10446.1
1886-12-29,10447.15
1886-12-30,10448.19
1886-12-31,10449.23
1887-01-03,10450.28
1887-01-04,10451.33
1887-01-05,10452.37
1887-01-06,10453.42
1887-01-07,10454.46
1887-01-10,10455.51
1887-01-11,10456.56
1887-01-12,10457.6
1887-01-13,10458.65
1887-01-14,10459.7
1887-01-17,10460.75
1887-01-18,10461.8
1887-01-19,10462.84
