Date,UPRO
2010-12-01,20787.66
2010-12-02,21597.06
2010-12-03,21764.72
2010-12-06,21694.18
2010-12-07,21728.87
2010-12-08,21967.07
2010-12-09,22251.51
2010-12-10,22633.09
2010-12-13,22678.18
2010-12-14,22729.06
2010-12-15,22411.19
2010-12-16,22801.9
2010-12-17,22900.19
2010-12-20,23013.5
2010-12-21,23458.67
2010-12-22,23695.71
2010-12-23,23588.18
2010-12-27,23588.18
2010-12-28,23718.84
2010-12-29,23775.48
2010-12-30,23681.83
2010-12-31,23693.4
2011-01-03,24382.54
2011-01-04,24306.23
2011-01-05,24717.86
2011-01-06,24572.17
2011-01-07,24438.04
2011-01-10,24360.57
2011-01-11,24590.67
2011-01-12,25282.13
2011-01-13,25200.03
2011-01-14,25638.27
2011-01-18,25837.15
2011-01-19,25807.08
2011-01-20,24973.4
2011-01-21,25166.5
2011-01-24,25557.33
2011-01-25,25590.86
2011-01-26,25899.58
2011-01-27,26078.81
2011-01-28,24701.33
2011-01-31,25248.6
2011-02-01,26453.44
2011-02-02,26307.41
2011-02-03,26474.26
2011-02-04,26741.36
2011-02-07,27222.37
2011-02-08,27593.54
2011-02-09,27403.91
2011-02-10,27443.22
2011-02-11,27932.33
2011-02-14,28084.96
2011-02-15,27867.58
2011-02-16,28342.81
2011-02-17,28642.29
2011-02-18,28819.2
2011-02-22,27102.12
2011-02-23,26653.48
2011-02-24,26556.35
2011-02-25,27327.62
2011-02-28,27872.23
2011-03-01,26474.28
2011-03-02,26613.04
2011-03-03,27986.7
2011-03-04,27397
2011-03-07,26699.76
2011-03-08,27407.41
2011-03-09,27317.22
2011-03-10,25787.45
2011-03-11,26328.59
2011-03-14,25863.77
2011-03-15,24996.55
2011-03-16,23581.26
2011-03-17,24451.94
2011-03-18,24784.95
2011-03-21,25905.39
2011-03-22,25655.63
2011-03-23,25860.3
2011-03-24,26588.76
2011-03-25,26814.23
2011-03-28,26651.2
2011-03-29,27174.99
2011-03-30,27733.48
2011-03-31,27650.23
2011-04-01,27962.42
2011-04-04,28045.67
2011-04-05,28049.14
2011-04-06,28257.27
2011-04-07,28080.36
2011-04-08,27827.14
2011-04-11,27560.04
2011-04-12,26949.52
2011-04-13,26904.42
2011-04-14,26968.25
2011-04-15,27192.34
2011-04-18,26373.69
2011-04-19,26755.26
2011-04-20,27896.51
2011-04-21,28305.84
2011-04-25,28201.77
2011-04-26,28944.11
2011-04-27,29485.25
2011-04-28,29776.63
2011-04-29,30064.55
2011-05-02,29839.07
2011-05-03,29540.75
2011-05-04,28961.45
2011-05-05,28208.71
2011-05-06,28507.03
2011-05-09,28905.95
2011-05-10,29630.94
2011-05-11,28656.19
2011-05-12,29072.45
2011-05-13,28368.28
2011-05-16,27861.83
2011-05-17,27861.83
2011-05-18,28614.57
2011-05-19,28801.88
2011-05-20,28101.18
2011-05-23,27112.55
2011-05-24,27074.4
2011-05-25,27317.22
2011-05-26,27650.23
2011-05-27,28004.05
2011-05-31,28881.67
2011-06-01,26984.21
2011-06-02,26835.04
2011-06-03,26064.96
2011-06-06,25204.68
2011-06-07,25145.71
2011-06-08,24847.39
2011-06-09,25371.19
2011-06-10,24351.35
2011-06-13,24392.97
2011-06-14,25322.63
2011-06-15,23973.24
2011-06-16,24098.12
2011-06-17,24337.47
2011-06-20,24739.86
2011-06-21,25721.54
2011-06-22,25281
2011-06-23,25048.59
2011-06-24,24177.9
2011-06-27,24809.23
2011-06-28,25777.04
2011-06-29,26446.53
2011-06-30,27185.4
2011-07-01,28406.44
2011-07-05,28291.96
2011-07-06,28399.5
2011-07-07,29370.78
2011-07-08,28722.1
2011-07-11,27206.21
2011-07-12,26800.36
2011-07-13,27095.21
2011-07-14,26522.85
2011-07-15,26914.83
2011-07-18,26286.97
2011-07-19,27549.63
2011-07-20,27501.06
2011-07-21,28635.38
2011-07-22,28704.76
2011-07-25,28226.05
2011-07-26,27913.86
2011-07-27,26234.93
2011-07-28,26005.99
2011-07-29,25447.5
2011-08-01,25093.68
2011-08-02,23234.38
2011-08-03,23563.92
2011-08-04,20230.35
2011-08-05,20143.63
2011-08-08,16164.85
2011-08-09,18412.67
2011-08-10,15994.88
2011-08-11,18128.22
2011-08-12,18527.14
2011-08-15,19633.71
2011-08-16,19155
2011-08-17,19207.04
2011-08-18,16702.53
2011-08-19,15928.97
2011-08-22,15949.78
2011-08-23,17479.55
2011-08-24,18232.29
2011-08-25,17399.77
2011-08-26,18162.91
2011-08-29,19730.83
2011-08-30,19834.9
2011-08-31,20081.19
2011-09-01,19522.7
2011-09-02,18020.69
2011-09-06,17621.77
2011-09-07,19099.5
2011-09-08,18499.39
2011-09-09,17066.76
2011-09-12,17389.36
2011-09-13,17822.97
2011-09-14,18586.11
2011-09-15,19560.86
2011-09-16,19893.87
2011-09-19,19304.17
2011-09-20,19248.66
2011-09-21,17505.29
2011-09-22,15846.05
2011-09-23,16085.57
2011-09-26,17244.95
2011-09-27,17789.93
2011-09-28,16717.33
2011-09-29,17147.75
2011-09-30,15925.89
2011-10-03,14513.11
2011-10-04,15377.44
2011-10-05,16314.67
2011-10-06,17196.35
2011-10-07,16842.29
2011-10-10,18564.01
2011-10-11,18577.89
2011-10-12,19105.51
2011-10-13,18963.2
2011-10-14,19938.6
2011-10-17,18800.05
2011-10-18,19909.45
2011-10-19,19209.65
2011-10-20,19442.22
2011-10-21,20542.59
2011-10-24,21347.91
2011-10-25,20080.92
2011-10-26,20684.91
2011-10-27,22798.88
2011-10-28,22885.66
2011-10-31,21118.81
2011-11-01,19421.39
2011-11-02,20355.15
2011-11-03,21448.58
2011-11-04,21066.75
2011-11-07,21448.58
2011-11-08,22278.2
2011-11-09,19824.05
2011-11-10,20365.56
2011-11-11,21545.77
2011-11-14,20900.13
2011-11-15,21243.78
2011-11-16,20202.42
2011-11-17,19240.89
2011-11-18,19154.11
2011-11-21,18050.27
2011-11-22,17855.88
2011-11-23,16699.97
2011-11-25,16526.41
2011-11-28,18012.43
2011-11-29,18154.4
2011-11-30,20410.69
2011-12-01,20379.45
2011-12-02,20348.21
2011-12-05,21007.74
2011-12-06,21025.09
2011-12-07,21271.55
2011-12-08,19872.65
2011-12-09,20865.42
2011-12-12,19966.37
2011-12-13,19379.74
2011-12-14,18744.51
2011-12-15,18945.84
2011-12-16,19053.45
2011-12-19,18432.1
2011-12-20,20122.23
2011-12-21,20233.66
2011-12-22,20820.29
2011-12-23,21309.73
2011-12-27,21323.62
2011-12-28,20573.14
2011-12-29,21157
2011-12-30,20879.3
2012-01-03,21889.42
2012-01-04,21924.13
2012-01-05,22146.29
2012-01-06,21983.14
2012-01-09,22090.75
2012-01-10,22666.97
2012-01-11,22729.45
2012-01-12,22875.24
2012-01-13,22632.26
2012-01-17,22764.17
2012-01-18,23524.36
2012-01-19,23892.31
2012-01-20,23944.34
2012-01-23,23965.2
2012-01-24,23895.78
2012-01-25,24482.41
2012-01-26,24131.82
2012-01-27,24083.22
2012-01-30,23836.77
2012-01-31,23781.23
2012-02-01,24416.46
2012-02-02,24548.36
2012-02-03,25593.2
2012-02-06,25534.19
2012-02-07,25728.57
2012-02-08,25916.02
2012-02-09,26023.63
2012-02-10,25513.36
2012-02-13,26034.04
2012-02-14,25933.38
2012-02-15,25561.96
2012-02-16,26388.1
2012-02-17,26638.03
2012-02-21,26679.69
2012-02-22,26377.69
2012-02-23,26776.88
